APPLYFOB1_QUESTION,Ready to try this first fob on Panel 1? ,Ada,,,
APPLYFOB1_QUEST_ACCEPT,So curious! Let's hope it works!,,,,
APPLYFOB1_OPEN_CLUBHOUSE,"Totally. Fingers crossed. Okay, the first step is to open the clubhouse. ",,,,
APPLYFOB1_OPEN_CLUBHOUSE_HINT1,"To open the clubhouse, click on the button at the right.",,,,
APPLYFOB1_APPLY,The moment of truth! Let's apply the fob now!,,,,
APPLYFOB1_OPEN,Brilliant! Something's happening! The base is lighting up. ,,hurray,,
APPLYFOB1_RILEY1,ADA! ADA! Can you hear me? So glad you're )&^here +*& x・^)^ *I'M* ∫~}(=^ *O* ∫}(=^ *K*,Riley,talk_glitched,,
APPLYFOB1_RILEY2,There'$$@still */ᐠ｡｡ᐟ\*}(&^ [_1_]_more_*%++_st3p_*/ᐠ｡ꞈ｡ᐟ\*,Riley,talk_glitched,,
APPLYFOB1_RILEY3,(=11^ $!!‥^*M*)/ 1*E*1(=^ ∫*O*(^= (1 1^^=~ */ᐠ｡ꞈ｡ᐟ\* *W* (=^ *(^・x・^)*,Riley,talk_glitched,,
APPLYFOB1_END,"So relieved to hear Riley's voice! I knew she'd get through to us. 

Okay, so now for the 2nd fob! Go check with Saniel and he'll help you find it!",,,,
APPLYFOB1_ABORT,"OMG how can you leave at this moment? But OK, we can try again later ;) ",,,,
