FIZZICSKEY_DUMMY1,fizzics key dummy text 1 (If you see this in master it's a bug!),Saniel,,,
FIZZICSKEY_DUMMY2,"fizzics key dummy text 2, longer (If you see this in master it's a bug!)",Saniel,,,
FIZZICSKEY_DUMMY3,"fizzics key dummy text 3, even longer still, also the end (If you see this in master it's a bug!)",Saniel,,,
FIZZICSKEY_QUESTION,want to start FIZZICSKEY? (dummytext),Saniel,,,
FIZZICSKEY_QUEST_ACCEPT,(dummyaccept),Saniel,,,
FIZZICSKEY_SUCCESS,FIZZICSKEY complete (dummytext),Saniel,,,
FIZZICSKEY_ABORT,FIZZICSKEY abort (dummytext),Saniel,,,
FIZZICSKEY_SETGRAV,Do you want high or low gravity?,Saniel,,,
FIZZICSKEY_SETFRIC,Do you want high or low friction?,Saniel,,,
FIZZICSKEY_SETBOUNCE,"Do you want high bounce for the ball, or low?",Saniel,,,
FIZZICSKEY_CHOICEHIGH,High,Saniel,,,
FIZZICSKEY_CHOICELOW,Low,Saniel,,,
FIZZICSKEY_LAUNCH,Launch Fizzics.,Saniel,,,
