LIGHTSPEEDFINAL_QUESTION,We're almost there! One more level! Ready to find the second access fob?,,,,
LIGHTSPEEDFINAL_QUEST_ACCEPT,Yes!,,,,
LIGHTSPEEDFINAL_LAUNCH,We need to beat the final level in Lightspeed. Launch it now.,,,,
LIGHTSPEEDFINAL_EXPLAIN,"Here we are. You'll have to create and beat the final level with every monster and every upgrade.

Press the Flip button to go to the code.",,,,
LIGHTSPEEDFINAL_CODE,"All right, now we need to give it everything. Let's spawn every enemy and powerup in this level.

Click on the Spawn tab and look at the `spawnEnemy()` function.

Let's change it so it spawns any of the 4 enemies: *asteroid*, *spinner*, *squid*, or *beam*.",,,,
LIGHTSPEEDFINAL_CODE_HINT1,Remember the `pickOne()` function? It can be useful here too.,,,,
LIGHTSPEEDFINAL_CODE_HINT2,"Use the `pickOne()` function to return one of the 4 enemies, `'asteroid'`, `'spinner'`, `'squid'` or `'beam'`.",,,,
LIGHTSPEEDFINAL_CODE_HINT3,"`return pickOne('asteroid', 'spinner', 'squid', 'beam');`",,,,
LIGHTSPEEDFINAL_ABOUTTOPLAY,Ready. Let's play!,,,,
LIGHTSPEEDFINAL_PLAYTEST,You should get all 4 enemies in this level.,,,,
LIGHTSPEEDFINAL_ABOUTTOPLAY_HINT1,Press the *Restart* button.,,,,
LIGHTSPEEDFINAL_PLAY_AGAIN,Let's try again.,,,,
LIGHTSPEEDFINAL_PLAY_AGAIN_HINT1,Press the *Restart* button.,,,,
LIGHTSPEEDFINAL_NOTFOUR,I don't see all 4 enemies. Let's go back and check.,,,,
LIGHTSPEEDFINAL_FINISHLEVEL,"Yes, you got all 4 enemies. Now keep playing to the end. That's how we'll get the code.",,,,
LIGHTSPEEDFINAL_SUCCESS,"Well done! I knew you could it. And here's the code, as we expected.",,,,
LIGHTSPEEDFINAL_END,Excellent. As soon as we get all three codes we'll activate the three panels. ,,,,
LIGHTSPEEDFINAL_ABORT,"Go if you must, but I do hope you'll check back later.  ",,,,
