LIGHTSPEEDINTRO_QUESTION,"So nice to see you again! I've got a new game for you to work on. Want to try it?
",Ada,,,quests/quest2-ada-hi
LIGHTSPEEDINTRO_QUEST_ACCEPT,Of course!,,,,quests/quest2-ada-hi
LIGHTSPEEDINTRO_LAUNCH,"We're all still heads down in this data corruption. Such a mess! Enough of that for now. 

You can help us by sharpening your coding skills! And this game will help you do that. it's called Lightspeed.

Go ahead and launch it from the desktop. Do you see it there? 
",,,,quests/quest2-ada-hi
LIGHTSPEEDINTRO_EXPLANATION,"The Conservatory Director, Estelle, designed this as a simulation exercise in her aerospace engineering days. 

Now we use it for training. You'll get to design your own levels. Can't wait to see what you do with it! 
",,,,
LIGHTSPEEDINTRO_GOAL,The goal of Lightspeed is very simple: Pick up 10 astronauts with your ship and avoid crashing into anything.,,,,
LIGHTSPEEDINTRO_ONE, ,,,,
LIGHTSPEEDINTRO_FIVE,5 more to go!,,,,
LIGHTSPEEDINTRO_SUCCESS,"Quick work! Now we'll need your help with the other levels.

I'm going to give you the Level 1 key for Lightspeed. I'm sure you'll make good use of it.",,,,
LIGHTSPEEDINTRO_END,Come get me in the Clubhouse and we'll go over the next steps.,,,,
LIGHTSPEEDINTRO_ABORT,"No prob, we'll try again later. ",,,,
