MAZEPT4_DUMMY1,mazept4 dummy text 1 (If you see this in master it's a bug!),Ada,,,
MAZEPT4_DUMMY2,"mazept4 dummy text 2, longer (If you see this in master it's a bug!)",Ada,,,
MAZEPT4_DUMMY3,"mazept4 dummy text 3, even longer still, also the end (If you see this in master it's a bug!)",Ada,,,
MAZEPT4_QUESTION,want to start MAZEPT4? (dummytext),Ada,,,
MAZEPT4_QUEST_ACCEPT,(dummyaccept),Ada,,,
MAZEPT4_LAUNCH,Let's try some new levels in Sidetrack. ,Ada,,,
MAZEPT4_LAUNCH_HINT1,Click the Sidetrack icon. ,Ada,,,
MAZEPT4_INSTRUCTIONS,Oh this is awesome!  Now we can make the down pads into up pads!  And we can flip the up robots to move down instead!  We can even make both go the same direction!,Riley,,,
MAZEPT4_INSTRUCTIONS_HINT1,hint,,,,
MAZEPT4_LEVELS2, ,,,,
MAZEPT4_LEVELS3,level,,,,
MAZEPT4_LEVELS4,level,,,,
MAZEPT4_INSTRUCTIONS1,"Don’t forget you can still edit Instructions AND Units.  And use the Push Instruction!  You can trivialize a challenging problem.
",Saniel,,,
MAZEPT4_SANIELRETURNS,Hello Saniel. Glad to see you’re back.,Faber,,,
MAZEPT4_SANIELRETURNS2,Faber and I had some questions for you.,Ada,,,
MAZEPT4_RILEYESCAPE,They will have to wait til later! Riley has nearly escaped the maze!,Saniel,,,
MAZEPT4_RILEYESCAPE2,"Hey guys.  That AI is still lurking around.  I’ve seen it sneaking behind me the past couple levels.  Just thought you might want to know.
",Riley,,,
MAZEPT4_RILEYESCAPE3,Hmmm very peculiar. ,Saniel,,,
MAZEPT4_RILEYESCAPE4,"Riley:  There’s that AI again!  It’s right behind me!
",Riley,,,
MAZEPT4_RILEYESCAPE5,No time to ponder!  This the last level!  Finally you’re almost escaped from this confounded trap!,Saniel,,,
MAZEPT4_SUCCESS,Success,Ada,,,
MAZEPT4_ABORT,come back,Ada,,,
