MEET_QUEST_NAME,Tutorial - The Clubhouse,,,,
MEET_WELCOME1,"Welcome to the world of Hack! We're all here to teach you the secrets of the digital world you live in, and how to unlock your hacking superpower!",ada,,,
MEET_WELCOME2,My name's Ada - I've been around the Academy for a while. I'll be your guide.,ada,,,
MEET_WELCOME3_GOTHINT,That was actually me at the entrance puzzle - I didn't want to distract you by introducing myself.,ada,,,
MEET_WELCOME3_NOHINT,Great job on the entrance puzzle! Not many students solve that without help.,ada,hurray,,
MEET_GOBACK,"First, use the <b>Clubhouse</b> button at the <b>top</b> of the screen to go back to the main Clubhouse area.",,,,
MEET_EXPLAIN_MAIN1,<b>The Clubhouse</b> is a virtual place that anyone at The Academy can use to hang out and chat.,ada,,,
MEET_EXPLAIN_MAIN2,We'll always be here to talk to you - that's the advantage of a virtual space!,ada,,,
MEET_EXPLAIN_PATHWAYS1,"<b>Up top</b>, you'll see the Pathways button - Pathways organize all the activities we have into categories, like Web, Games, and more.",ada,,,
MEET_EXPLAIN_PATHWAYS2,"If you know exactly what you want to learn or do, go here, and you can jump right in to whatever you like!

If you're not sure, that's what all of us are here for - to help guide you.",,,,
MEET_EXPLAIN_PROFILE1,Do you see that picture with your name on it in the <b>upper left</b>? That's your <b>Profile</b>.,ada,,,
MEET_EXPLAIN_PROFILE2,We want you to be able to decide who you are in the world of Hack - and that includes your name. ,ada,,,
MEET_EXPLAIN_PROFILE3,"If you'd like us to call you something other than <b>{{user_name}}</b>, you can change that.",ada,,,
MEET_CHANGE_NAME_ASK,Would you like to learn how to do that right now?,ada,,,
MEET_CHANGE_NAME_YES,Sure!,,,,
MEET_CHANGE_NAME_NO,Not now...,,,,
MEET_CHANGE_NAME1,"If you look in the <b>far bottom right</b> corner of the whole screen, you'll see a little picture.

Click that, and it'll pop up a menu. From that menu, click <b>Settings</b>",ada,,,
MEET_CHANGE_NAME2,"Once you've clicked that, you'll be in the <b>Settings</b> app.",ada,,,
MEET_CHANGE_NAME3,"Go to the <b>Details</b> category (you might need to scroll down), and then the <b>Users</b> category.",ada,,,
MEET_CHANGE_NAME4,All done? Let's move on.,ada,,,
MEET_END1,"Now that you know your way around, a little, you're free to do whatever you like. Explore the Clubhouse!",ada,,,
MEET_END2,"I think Saniel had an activity or two for you to try, if you're feeling up to it - He's the one with the glasses and big beard, you can't miss him.",ada,,,
MEET_END3,Catch you later!,ada,,,
MEET_QUEST_SUBTITLE,What you'll do:,,,,
MEET_QUEST_DESCRIPTION,Let Ada refresh your memory of how the Clubhouse works.,,,,
