QUICKSTART_NAME,Tutorial - The Clubhouse - Quickstart,,,,
QUICKSTART_WELCOME1,"Hello, *{{user_name}}*! I'm Ada - and let me be the first to welcome you to Hack!",ada,,,
QUICKSTART_WELCOME2,"I'm going to run you through how this program, The Clubhouse, works. Is that OK?",ada,,,
QUICKSTART_POSITIVE,👍,ada,,,
QUICKSTART_NEGATIVE,👎,ada,,,
QUICKSTART_HACKSWITCH1,"Great! You can use use the *left-most top button* to get to this, the main area of the Clubhouse.",ada,,,
QUICKSTART_HACKSWITCH2,"That big switch on the *right* turns *Hack Mode* On and Off. Right now, it's *ON*, and you have access to everything in the Clubhouse.",ada,,,
QUICKSTART_HACKSWITCH3,"If it's off, the Clubhouse turns off, and you're essentially using a normal computer.",ada,,,
QUICKSTART_PATHWAYS1,"The *middle top button* is the Pathways button. If you already know exactly what kind of activities you want to do, go there.",ada,,,
QUICKSTART_PATHWAYS2,"If you prefer to explore, talk to everyone here in the Clubhouse - we've got lots of interesting activities to do.",ada,,,
QUICKSTART_PROFILE1,Your profile is in the upper left. You can change your name and profile picture using the Endless OS *Settings*.,ada,,,
QUICKSTART_PROFILE2,"To get directly to that section, click the picture way down in the far bottom right of the whole screen... 

...and then, in that popup menu, click *Settings*..

From there, you can go to the *Details* category (you might need to scroll down), then the *Users* category.",ada,,,
QUICKSTART_END1,"OK, that covers the basics - come find me if you want a more detailed explanation. Have fun!",ada,,,
QUICKSTART_DECLINE,"Can't wait? I know the feeling! If you need any help, just click on me in the Clubhouse, and I'll fill you in.",ada,,,
