ROSTER_QUESTION,"Okay, we have another important part of the tour. I'm going to give you some info you're going to need. ",Ada,,quests/quest-proposed
ROSTER_QUEST_ACCEPT,I'm in,,,
ROSTER_PRELAUNCH,We're going to visit the Roster.,,,
ROSTER_LAUNCH,Go ahead and launch it.,,,
ROSTER_LAUNCH_HINT1,Launch the Roster app from the desktop.,,,
ROSTER_EXPLANATION,You'll find a lot of cool info about our crew here. Check out the page about Saniel.,,,
ROSTER_EXPLANATION_HINT1,Click on Saniel's pic to read about him.,,,
ROSTER_ALREADYREAD,Oh Snap! You've already read all about Saniel. Awesome. ,,,
ROSTER_SUCCESS,"You found it. Excellent. Quite fascinating, isn't he?",,,
ROSTER_END,Check out the others too! Then come stop by the Clubhouse again.,,,
ROSTER_ABORT,I'll be in the Clubhouse. Just come get me whenever. ,,,quests/quest-aborted
