SIDETRACK2_QUEST_NAME,Sidetrack #2 - Enter the code,,,,
SIDETRACK2_QUEST_SUBTITLE,What you'll do,,,,
SIDETRACK2_QUEST_DESCRIPTION,Continue exploring Riley's game and look behind the scenes.,,,,
SIDETRACK2_LAUNCH,You completed Sidetrack #1. Nice job! I have the next adventure ready for you. Launch <b>Sidetrack</b>.,riley,,,
SIDETRACK2_LAUNCH_HINT1,Go to the desktop and click on the <b>Sidetrack</b> icon.,riley,,,
SIDETRACK2_INTRO1,"Back from the break, I kept on thinking about the problem we debugged last.",ada,,,
SIDETRACK2_INTRO2,Is everyone back? Where is Saniel?,estelle,,,
SIDETRACK2_INTRO3,I guess he took one of his power naps :),faber,,,
SIDETRACK2_INTRO4,I am here. Indeed I just returned from my inemuri as my friends in Japan would say. Let's recap where we left off.,saniel,,,
SIDETRACK2_INTRO5,So we weren't able to solve this level because the instruction at <b>position 3</b> is wrong and hitting play does not forge ahead.,estelle,,,
SIDETRACK2_INTRO6,"As I said, we’ll need to see the code to debug it.",saniel,,,
SIDETRACK2_FLIP,I added a Hacking panel for my game. I am sure you noticed the button at the left side of the screen.,riley,,,
SIDETRACK2_FLIP_HINT1,"Click the button to look behind the scenes, take a tour under the hood of this game.",riley,,,
SIDETRACK2_FLIP_HINT2,Press the <b>Flip</b> button so we can see the <b>Sidetrack Toolbox</b>.,riley,,,
SIDETRACK2_UNLOCK,"Ok, what is this? A lock?",faber,,,
SIDETRACK2_UNLOCK_QUESTION,"Yes, I have seen the concept of locked content in many games. So I wanted to do similarly. How to open a lock?",riley,,,
SIDETRACK2_UNLOCK_CHOICE1,A carrot.,,,,
SIDETRACK2_UNLOCK_CHOICE2,A key.,,,,
SIDETRACK2_UNLOCK_CORRECT,Quite acceptable.,riley,hurray,,
SIDETRACK2_UNLOCK_PLAUSIBLE,"I would like to see that too. Between the two of us, I would have answered the same.",faber,,,
SIDETRACK2_UNLOCK3,I am not a big fan if quizzes... I am interested in debugging the real issue. Can we go on?,estelle,,,
SIDETRACK2_GIVE_KEY,"Sure Estelle, my pleasure. Let me give you guys the key, the concept should be clear. ",riley,,,
SIDETRACK2_UNLOCK4,"<b>{{user_name}}</b>, do you see the lock lightning up and hear the sound playing? Means you have the key for the lock. Click the lock and it will open.",riley,,,
SIDETRACK2_TOOLBOX_INSTRUCTIONS,"Ah. Now we can access the <b>Instructions</b>. It's the same as the icons on the front, just written in code.

See that? Someone spelled <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">jump</span></tt> wrong, no wonder that <b>Instruction</b> doesn't work. The language has to be super exact.

Pay attention to each letter and correct the spelling in the code. Then try running the level again!",,,,
SIDETRACK2_TOOLBOX_INSTRUCTIONS_HINT1,"See in the code where it says <tt><span insert_hyphens=""false"" foreground=""#287A8C"" background=""#FFFFFF"">riley.jumpp();</span></tt>?

See how jump has two p's? There's only one <b>p</b> in jump!",,,,
